true\pred,0:NoData,1:Built-up,2:Cropland,3:Forest,4:Grassland,5:Shrubland,6:Wetland,7:Water,8:Bareland,9:Mangrove Forest
0:NoData,0,0,0,0,0,0,0,0,0,0
1:Built-up,0,97561,45119,26031,1779,0,1288,124,377,1182
2:Cropland,0,49905,1322897,69826,28342,0,8099,200,7867,4450
3:Forest,0,32659,105825,2298243,58297,0,6152,3870,12234,29225
4:Grassland,0,2312,66834,168688,169232,0,2541,277,18243,3302
5:Shrubland,0,28,82,2714,888,0,0,0,4,0
6:Wetland,0,804,5986,3035,1918,0,96329,59604,29110,671
7:Water,0,575,1382,1062,490,0,38568,1078914,7104,307
8:Bareland,0,3183,21916,15902,14011,0,45145,15153,73752,645
9:Mangrove Forest,0,166,282,2975,43,0,412,45,5,8035
