true\pred,0:NoData,1:Built-up,2:Cropland,3:Forest,4:Grassland,5:Shrubland,6:Wetland,7:Water,8:Bareland,9:Mangrove Forest
0:NoData,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1:Built-up,0.00000000,0.56243767,0.26011034,0.15006832,0.01025591,0.00000000,0.00742530,0.00071486,0.00217340,0.00681421
2:Cropland,0.00000000,0.03345768,0.88690629,0.04681326,0.01900125,0.00000000,0.00542979,0.00013409,0.00527425,0.00298340
3:Forest,0.00000000,0.01282503,0.04155696,0.90250873,0.02289295,0.00000000,0.00241586,0.00151973,0.00480423,0.01147651
4:Grassland,0.00000000,0.00535894,0.15491309,0.39099829,0.39225921,0.00000000,0.00588973,0.00064205,0.04228506,0.00765363
5:Shrubland,0.00000000,0.00753498,0.02206674,0.73035522,0.23896663,0.00000000,0.00000000,0.00000000,0.00107643,0.00000000
6:Wetland,0.00000000,0.00407177,0.03031546,0.01537044,0.00971351,0.00000000,0.48784799,0.30185813,0.14742450,0.00339821
7:Water,0.00000000,0.00050957,0.00122474,0.00094115,0.00043424,0.00000000,0.03417931,0.95614329,0.00629563,0.00027207
8:Bareland,0.00000000,0.01677851,0.11552552,0.08382400,0.07385600,0.00000000,0.23797224,0.07987581,0.38876794,0.00339998
9:Mangrove Forest,0.00000000,0.01387612,0.02357268,0.24868344,0.00359442,0.00000000,0.03443952,0.00376160,0.00041796,0.67165427
