true\pred,0:NoData,1:Built-up,2:Cropland,3:Forest,4:Grassland,5:Shrubland,6:Wetland,7:Water,8:Bareland,9:Mangrove Forest
0:NoData,0,0,0,0,0,0,0,0,0,0
1:Built-up,0,100020,30413,33379,3808,279,1745,25,1504,2288
2:Cropland,0,85819,1143452,123438,102174,1844,5241,280,22329,7009
3:Forest,0,38107,47622,2285913,87705,20457,12839,2267,21489,30106
4:Grassland,0,4236,33063,157912,184637,2698,2061,694,32798,13330
5:Shrubland,0,4,15,2597,1057,39,0,0,4,0
6:Wetland,0,424,5264,3770,2122,83,77125,58277,49887,505
7:Water,0,529,628,1633,533,0,41471,1071445,12005,158
8:Bareland,0,3831,15379,16794,15601,510,25361,15997,94959,1275
9:Mangrove Forest,0,162,519,5003,28,146,596,9,144,5356
