true\pred,0:NoData,1:Built-up,2:Cropland,3:Forest,4:Grassland,5:Shrubland,6:Wetland,7:Water,8:Bareland,9:Mangrove Forest
0:NoData,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000
1:Built-up,0.00000000,0.57661376,0.17533048,0.19242942,0.02195306,0.00160843,0.01005990,0.00014412,0.00867054,0.01319028
2:Cropland,0.00000000,0.05753540,0.76660146,0.08275621,0.06850024,0.00123627,0.00351371,0.00018772,0.01496997,0.00469903
3:Forest,0.00000000,0.01496443,0.01870093,0.89766680,0.03444132,0.00803336,0.00504181,0.00089024,0.00843862,0.01182248
4:Grassland,0.00000000,0.00981853,0.07663602,0.36602083,0.42796613,0.00625364,0.00477715,0.00160861,0.07602178,0.03089732
5:Shrubland,0.00000000,0.00107643,0.00403660,0.69886975,0.28444564,0.01049516,0.00000000,0.00000000,0.00107643,0.00000000
6:Wetland,0.00000000,0.00214730,0.02665897,0.01909276,0.01074664,0.00042034,0.39059137,0.29513768,0.25264741,0.00255752
7:Water,0.00000000,0.00046880,0.00055654,0.00144718,0.00047235,0.00000000,0.03675197,0.94952419,0.01063894,0.00014002
8:Bareland,0.00000000,0.02019430,0.08106712,0.08852599,0.08223734,0.00268836,0.13368510,0.08432477,0.50055612,0.00672089
9:Mangrove Forest,0.00000000,0.01354175,0.04338377,0.41820614,0.00234055,0.01220430,0.04982028,0.00075232,0.01203711,0.44771378
